titulo,empresa,local,faixa_salarial,link,descricao,requisitos,situacao,pagina,coletado_em
Gerente de Engenharia Sênior,FLYTTR DO BRASIL,Remoto,Não especificado,https://programathor.com.br/jobs/33814-gerente-de-engenharia-senior,"Responsibilities
List these in order of importance/impact:
Provide technical support to operational team to ensure issues are resolved within SLAs. Converting product requirements into clear specifications and allocating tasks to team members. Architecting technical solutions to product and engineering issues. Performing code reviews to a high standard. Ensuring good software development practices are followed. Setting up good processes for software development which cover the entire software development life cycle. Setting up robust CI/CD pipelines to ensure software is deployed safely and well tested before deployment. Ensuring product documentation is kept up to date. Carry out software development to support teams when required to lead by example. Establish an effective working structure, within an agile framework, to maintain a consistent workflow. Act as a key technical liaison to sales staff, ensuring customer needs and technical considerations are clearly understood and communicated. Support sales teams to ensure they understand complex technical concepts and assist them to frame this into effective messaging for use in client and market-facing discussions. Create executive reports to track delivery against milestones, risk mitigation and planning aligned with the programme goals.","Skills, Experience, and Education Requirements
The stack spans several domains of which expertise is not required in all of the below but the candidate should be comfortable reviewing and reasoning across these: TypeScript/JavaScript Python and Django PostgreSQL Julia and MATLAB Embedded C 3+ years of engineering management experience, ideally in a startup or scale-up environment. 5+ years of prior hands-on software engineering experience. Experienced in front-end UX development as well as backend. Strong database experience. Experience with cloud computing – AWS, GCP, Azure, etc. Familiarity with setting up and configuring robust CI/CD pipelines. Demonstrated ability to lead teams through complex, multi-disciplinary technical work. Ability to write clear documentation and regularly update task management tickets. Excellent communication skills and fully fluent in English. Proven ability to design robust systems that meet stakeholder needs. Flexibility to support internationally across time zones.
Desirable:
Experience with React Native. Familiarity with IoT, embedded systems, or hardware-software integration. Data engineering experience. Exposure to scientific computing or numerical programming (Julia, MATLAB, NumPy, or similar). Experience scaling a team from early-stage to growth-stage within a single organisation.",Sem selo de vencida,1,2026-09-21T18:44:19-03:00
"Desenvolvedor(a) Back-End Pleno - Automações de mensageria (META, WA Business)",Lyza/RS,Remoto,Não especificado,https://programathor.com.br/jobs/33766-desenvolvedor-a-back-end-pleno-automacoes-de-mensageria-meta-wa-business,"Gerenciar e evoluir as integrações com o ecossistema Meta para disparo de mensagens, tanto via BSPs (ex: Infobip) quanto via conta de desenvolvedor nativa da Meta (Cloud API / On-Premises). Administrar Business Managers (BMs), números, templates de mensagem, qualidade de conta e políticas de disparo. Manter e evoluir a integração privada com o Kommo, responsável por orquestrar as conexões não oficiais via Evolution API (números receptivos). Diagnosticar e resolver problemas de conexão, bloqueio de número, rate limit, entrega e qualidade de disparo. Participar de decisões de arquitetura para escalar o volume de disparo com segurança e estabilidade. Trabalhar próximo a times de produto/operação para entender necessidades de disparo e traduzir em soluções técnicas. Utilizaçao de IA, assistentes de código (Claude Code, Codex etc)","Experiência prática com Evolution API (ou ferramentas similares de conexão não oficial ao WhatsApp). Experiência com o ecossistema Meta for Developers: WhatsApp Cloud API, Business Manager, gestão de templates e políticas de qualidade. Vivência com BSPs (Infobip ou similares — Gupshup, 360dialog, Zenvia, etc.). Experiência com CRMs de automação/vendas, idealmente Kommo (ou similares: RD Station CRM, Pipedrive, HubSpot). Conhecimento sólido de APIs REST, webhooks e integração entre sistemas. Experiência com deploy e operação em produção (Docker, CI/CD, monitoramento, logs). Linguagem: Python, Node.js Autonomia para debugar problemas de integração ponta a ponta (da conta Meta até o banco de dados).",Sem selo de vencida,1,2026-09-21T18:44:25-03:00
Engenheiro de Automação IA Sênior,RDC VIAGENS,São Caetano do Sul/SP (Híbrido),Não especificado,https://programathor.com.br/jobs/33760-engenheiro-de-automacao-ia-senior,"Profissional híbrido responsável por mapear, desenhar e implementar automações de processos internos do time de tecnologia usando IA, atuando ponta a ponta, desde a descoberta do problema com stakeholders até a entrega em produção e sustentação. Deve ter base sólida de backend para transitar em demandas correlatas do time (integrações, APIs, manutenção de serviços) quando necessário.
Responsabilidades principais
O profissional vai atuar em três frentes que se complementam. Na frente de descoberta e mapeamento, conduz entrevistas com áreas demandantes, mapeia processos atuais (AS-IS), identifica gargalos automatizáveis, avalia viabilidade técnica e ROI, e prioriza oportunidades junto à liderança. Na frente de desenho e implementação, desenha a arquitetura da solução (escolhendo entre LLM, RPA, workflow tradicional ou combinação), prototipa rapidamente, implementa de ponta a ponta, incluindo integrações, prompts, guardrails, observabilidade, e leva pra produção com testes e documentação. Na frente de sustentação e evolução, monitora qualidade das automações em produção (acurácia, custo de tokens, latência), itera com base em feedback, e contribui em demandas gerais de backend do time quando a fila de automação estiver vazia.","Stack e conhecimentos técnicos
Backend (obrigatório)
Linguagem principal: Python ou Node.js/TypeScript e conhecimento sólido em backend com .NET (C#)
APIs REST: design, consumo, autenticação (OAuth2, JWT, API keys), versionamento
Bancos de dados: SQL (PostgreSQL/SQL Server) e noções de NoSQL/vetoriais (Pinecone, Qdrant, pgvector)
Mensageria e filas: RabbitMQ, Kafka ou similares (importante pra automações assíncronas)
Containers: Docker e noções de Kubernetes
Git, CI/CD (GitHub Actions, Azure DevOps, GitLab CI)
IA aplicada (obrigatório)
Uso de APIs de LLMs (Anthropic Claude, OpenAI, Gemini), não precisa treinar modelos, mas precisa saber consumir bem
Prompt engineering estruturado (não no nível de ""truques"", mas de design de prompts confiáveis e testáveis)
RAG (Retrieval-Augmented Generation): indexação, chunking, embeddings, busca semântica
Function calling / tool use / agentes
MCP (Model Context Protocol)
Avaliação de outputs: como medir qualidade, criar suítes de teste, detectar regressões
Guardrails: validação de saída, fallbacks, controle de custo
Plataformas de automação (desejável)
n8n, Make, Zapier, Power Automate, pra resolver rápido o que não exige código custom
Ferramentas de orquestração: LangChain, LlamaIndex, Semantic Kernel (com cautela, saber quando NÃO usar também)
Soft skills críticas
Capacidade de conversar com áreas de negócio e traduzir necessidade em solução
Documentação técnica clara
Pragmatismo: saber quando IA é a resposta e quando uma regra simples resolve melhor",Sem selo de vencida,1,2026-09-21T18:44:31-03:00
Desenvolvedor(a) Full Stack Python AI/LLM,Convolut,São Paulo (Híbrido),Até R$18.000,https://programathor.com.br/jobs/33752-desenvolvedor-a-full-stack-python-ai-llm,"Sobre o produto É um sistema de negociação inteligente, multicanal e multimodal, que assume e otimiza toda a régua de cobrança de clientes inadimplentes. Operamos em voz, WhatsApp, SMS e e-mail. O fluxo é end to end: · Recebimento ou upload da base de devedores; · Categorização de estratégia por tipo de devedor (aging da dívida, ticket médio, perfil); · Réguas inteligentes que se adaptam ao status de cada cliente: não atendeu, ouviu a proposta e recusou, aceitou e não pagou, pediu para não ligar, e assim por diante; · Agentes de IA com configurações distintas e capacidade negocial, mantendo contexto entre as interações e entre canais para maximizar o valor recuperado; · Emissão de boleto e acompanhamento do pagamento; · Conciliação de pagamentos.
Atividades - Sistema construído em LLM. Precisamos colocar em produção; - Desenvolvimento de funcionalidades no Back-End; - Desenvolvimento de funcionalidades no Front-End; - Aplicar melhores práticas de documentação de código desenvolvido;","STACKS · Backend: Python / FastAPI, Postgres · Front: React + TypeScript · IA e voz: LLMs, LiveKit, Twilio, WhatsApp API · Infra: DigitalOcean, Docker
REQUISITOS: · Full stack: Python e React/TypeScript no dia a dia; · Uso nativo de ferramentas de IA para programação; · Experiência com sistemas assíncronos, filas e integrações com APIs de terceiros; · Autonomia para tocar projetos de ponta a ponta.
PERFIL QUE PROCURAMOS Para a empresa, é mais importante a forma de pensar e trabalhar do que o currículo. Procuramos gente obsessiva por resolver problemas, que pensa rápido e que leva as entregas até o final. Não é sobre dominar dez linguagens ou ter trabalhado em produto de milhões de usuários. O que mais pesa aqui é pensar além do código. Queremos alguém que já tenha ou queira desenvolver visão de negócio: entender o cliente, o modelo de receita e a economia da operação, e ajudar a decidir o que construir em vez de só receber demanda pronta. Somos um time pequeno e estamos contratando pensando em futuros sócios, então quem entrar agora crescerá junto à empresa. O mercado de inadimplência no Brasil é enorme, o problema é simples de enunciar e complexo de resolver, e é disso que estamos atrás.
DIFERENCIAIS · Já ter colocado LLM em produção e não apenas em POC: prompt, orquestração de agente, controle de custo, tratamento de resposta ruim do modelo; · Experiência com telefonia e voz (LiveKit, Twilio, SIP) ou WhatsApp Cloud API; · Ter trabalhado em fintech, cobrança ou crédito; · Vivência em early-stage.",Sem selo de vencida,1,2026-09-21T18:44:42-03:00
AI Data Researcher Python + LLMs + SQL (USD-based pay),STRIDER,Remoto,Não especificado,https://programathor.com.br/jobs/33810-ai-data-researcher-python-llms-sql-usd-based-pay,"What they'll work on Own the quality of the LLM and Retrieval-Augmented Generation (RAG) evaluation system Run structured LLM and RAG evaluations and perform root-cause analysis Distinguish between retrieval, ranking, source, prompt, model, and citation failures Maintain evaluation datasets, including quality reviews, versioning, coverage, and new production cases Refine prompts, judge rubrics, and LLM-as-a-judge workflows Design controlled experiments with clear baselines, metrics, and success criteria Investigate practical solutions to recurring RAG challenges Automate repetitive analysis (e.g., Python, SQL, notebooks, APIs) Communicate findings and recommended actions to Product, Engineering, and leadership
Nice-to-haves Startup experience Experience with LLM-as-a-judge evaluation Familiarity with (LangSmith, Ragas, DeepEval, Braintrust, Evidently, etc.) Knowledge of embeddings, search, reranking, or hybrid retrieval Experience creating evaluation rubrics, dashboards, or lightweight automation Bachelor's Degree in Computer Engineering, Computer Science, or equivalent","Must-haves 4+ years of data research, applied analytics, or evaluation experience Experience with LLMs, prompting, RAG, and retrieval concepts Proficiency with Python Proficiency with SQL Experience in maintaining high-quality datasets or evaluation programs Ability to navigate ambiguous problems independently Strong communication skills in both spoken and written English",Sem selo de vencida,1,2026-09-21T18:44:48-03:00
Senior React & Python Developer,Lemon.io,Remoto,Não especificado,https://programathor.com.br/jobs/33746-senior-react-python-developer,Are you a talented Senior Developer looking for a remote job that lets you show your skills and get decent compensation? Apply to this job opportunity and join Lemon.io — the marketplace that connects you with hand-picked startups in the US and Europe.,"### **Requirements for the Senior React & Python Position:**
- 4+ years of software development experience.
Commercial experience:
- React.js 3+ years & Python 3+ years OR React.js 2+ years & Python 5+ years OR React.js 5+ years & Python 2+ years - Experience with AWS, GCP, or Azure is required.
**Other requirements:**
- Strong technical skills: as a Senior Developer, you are expected to be able to create projects from scratch and have a deep understanding of application architecture. - Clear and effective communication in English — advanced ability to discuss business tasks, justify decisions, and communicate issues. Good self-presentation is also essential for upcoming client calls. - Strong self-organizational skills — ability to work full-time remotely with no supervision. - Reliability — we want to trust you and expect that you won’t let us and the client down. - Adaptability and Flexibility — the ability to onboard the project promptly after accepting it and start delivering results quickly.",Vencida,1,2026-09-21T18:44:54-03:00
Engenheiro(a) de IA Generativa — Sênior,Orbite Consulting,Remoto,Não especificado,https://programathor.com.br/jobs/33742-engenheiro-a-de-ia-generativa-senior,"Você será referência técnica na arquitetura e evolução de aplicações generativas, agentes e plataformas de IA em produção. A atuação envolve decisões sobre RAG, avaliação, observabilidade, segurança, governança e integração com sistemas escaláveis, além de parceria próxima com produto e stakeholders. Também fará mentoria técnica e ajudará a elevar a confiabilidade e a qualidade das entregas.","Experiência sólida em engenharia de software e soluções de IA em produção; domínio de LLMs, RAG, avaliação, orquestração e APIs; vivência com cloud, observabilidade, segurança e sistemas escaláveis; capacidade de liderar decisões técnicas e orientar outros profissionais; comunicação clara e inglês técnico.",Vencida,1,2026-09-21T18:44:59-03:00
Engenheiro(a) de IA Generativa — Pleno,Orbite Consulting,Remoto,Não especificado,https://programathor.com.br/jobs/33741-engenheiro-a-de-ia-generativa-pleno,"Você vai construir e evoluir aplicações com LLMs, agentes, APIs de modelos e componentes de RAG. No dia a dia, também atuará no desenho de prompts, avaliações, guardrails e controles de qualidade, integrando as soluções a serviços internos e acompanhando custo, latência, segurança e desempenho. A posição trabalha próxima de produto, dados e engenharia, com espaço para documentar decisões e melhorar continuamente a plataforma.","Experiência prática com Python e/ou JavaScript/TypeScript; domínio de APIs de LLM, embeddings, RAG, bancos vetoriais ou frameworks de agentes; familiaridade com testes, versionamento e observabilidade; capacidade de traduzir necessidades de negócio em soluções técnicas; boa comunicação e inglês técnico.",Vencida,1,2026-09-21T18:45:05-03:00
Engenheiro(a) de IA Generativa — Júnior,Orbite Consulting,Remoto,Não especificado,https://programathor.com.br/jobs/33740-engenheiro-a-de-ia-generativa-junior,"Você participará da construção e evolução de aplicações com inteligência artificial generativa, trabalhando próximo de engenharia, dados e produto. A rotina combina experimentação, integração de APIs e melhoria contínua de soluções baseadas em modelos de linguagem.
• Apoiar integrações com modelos generativos e APIs de IA. • Participar da criação de prompts, testes e avaliações. • Contribuir para documentação, monitoramento e ajustes das aplicações. • Colaborar com profissionais de produto, dados e engenharia.","• Experiência acadêmica ou profissional com Python ou JavaScript/TypeScript. • Conhecimento básico de APIs, Git e desenvolvimento de software. • Interesse prático em LLMs, automação e inteligência artificial generativa. • Boa capacidade de aprendizado, organização e comunicação. • Inglês técnico para leitura de documentação.",Vencida,1,2026-09-21T18:45:10-03:00
Desenvolvedor de automação e IA,Forta Tech,São Bernardo do Campo (Híbrido),Não especificado,https://programathor.com.br/jobs/33698-desenvolvedor-de-automacao-e-ia,"Finalizar e estruturar fluxos de atendimento com IA. Criar e manter automações usando n8n ou ferramentas similares. Integrar o agente com sistemas internos, CRM, WhatsApp, ERP, e-commerce e bases de conhecimento. Desenvolver integrações via APIs REST, webhooks e manipulação de dados em JSON. Criar regras de roteamento, fallback humano e classificação de intenção. Melhorar prompts, bases de conhecimento e respostas do agente. Monitorar erros, logs, qualidade das respostas e estabilidade da operação.","Vivência com bancos de dados, SQL, MySQL e sistemas de automação (n8n, Make, Zapier ou ferramentas similares). Conhecimento em Python ou JavaScript/Node. Vivência com APIs REST, webhooks, JSON e autenticação. Conhecimento com IA generativa, LLMs, prompting e agentes de IA.",Vencida,1,2026-09-21T18:45:17-03:00
